Processing batch: 200 images across 10 states...
  state: us_california_dl
  state: us_pennsylvania_dl
  state: us_north_carolina_dl
  state: us_arizona_dl
  state: us_wisconsin_dl
  state: us_utah_dl
  state: us_nevada_dl
  state: us_west_virginia_dl
  state: us_south_dakota_dl
  state: us_dc_dl

=== Per-State Per-Field Accuracy (SIMPLE | PRODUCTION | REGION) ===

STATE                  FIELD         N   SIMPLE     PROD   REGION    P-Δ    R-Δ
    [us_california_dl] want='GRA'  prod='EYES GRA'  region='GRA'
    [us_pennsylvania_dl] want='BRO'  prod='EYES BRO'  region='BRO'
    [us_pennsylvania_dl] want='BRO'  prod='EYES BRO'  region='BRO'
    [us_pennsylvania_dl] want='BRO'  prod='EYES BRO'  region='BRO'
  list_19:
    [us_california_dl] want='BLN'  prod='HAIR BL'  region='BLN'
    [us_california_dl] want='BLN'  prod='HAIR BL'  region='BLN'
    [us_north_carolina_dl] want='BLK'  prod='HAIR BLK'  region='BLK'
    [us_north_carolina_dl] want='BLK'  prod='HAIR BLK'  region='BLK'
    [us_north_carolina_dl] want='BLK'  prod='HAIR BLK'  region='BLK'
  list_2:
    [us_california_dl] want='JULIANA'  prod='FNJULIANA'  region='JULIANA'
    [us_california_dl] want='LEAH'  prod='FLEAH'  region='LEAH'
    [us_california_dl] want='JUAN'  prod='FNJUAN'  region='JUAN'
    [us_california_dl] want='LEAH'  prod='FLEAH'  region='LEAH'
    [us_california_dl] want='YUSUKE'  prod='FN YUSUKE'  region='YUSÜKE'
  list_3:
    [us_pennsylvania_dl] want='11/27/1990'  prod='11/27/1990'  region='11/2711990'
    [us_pennsylvania_dl] want='07/10/1995'  prod='07/10/1995'  region='07 110/1995'
  list_4a:
    [us_nevada_dl] want='10/21/2021'  prod='0/21/2021'  region='10/21/2021'
  list_4d:
    [us_california_dl] want='17214115'  prod='DL 17214115'  region='17214115'
    [us_california_dl] want='12822598'  prod='DL |2822598'  region='12822598'
    [us_california_dl] want='18013350'  prod='DL 18013350'  region='18013350'
    [us_california_dl] want='19406185'  prod='DL 19406185'  region='19406185'
    [us_california_dl] want='16802348'  prod='DL 16802348'  region='16802348'
  list_8f:
    [us_pennsylvania_dl] want='47 HOWARD AVENUE'  prod='847 HOWARD AVENUE'  region='47 HOWARD AVENUE'
    [us_pennsylvania_dl] want='98 DEKALB PIKE'  prod='898 DEKALB PIKE'  region='98 DEKALB PIKE'
    [us_arizona_dl] want='9 RAY ROAD'  prod='• 9 RAY ROAD'  region='9 RAY ROAD'
    [us_arizona_dl] want='105 SWAN DRIVE'  prod='в 105 SWAN DRIVE'  region='105 SWAN DRIVE'
    [us_wisconsin_dl] want='8498 BLVD AVENUE'  prod='88498 BLVD AVENUE'  region='8498 BLVD AVENUE'
  list_8s:
    [us_california_dl] want='FRESNO, CA 93701'  prod='FRESNO, CA 93701'  region='FRESNO. CA 93701'
    [us_arizona_dl] want='BULLHEAD CITY, AZ 86442'  prod='BULLHEAD CITY, AZ 86442'  region='BULLHEAD CITY,AZ 86442'
    [us_nevada_dl] want='WEST WENDOVER, NV 89883'  prod='WEST WENDOVER, NV 89883.'  region='WEST WENDOVER, NV 89883'
    [us_nevada_dl] want='BOULDER CITY, NV 89005'  prod='BOULDER CIIY. NV 89005 VevAoP'  region='BOULDER CITY. NV 89005'
  list_9:
    [us_pennsylvania_dl] want='A'  prod='CLASS A'  region='A'
    [us_north_carolina_dl] want='A'  prod='CLASS A'  region='A'
    [us_north_carolina_dl] want='A'  prod='CLASS A'  region='A'
    [us_utah_dl] want='B'  prod='CLASS B'  region='B'
    [us_utah_dl] want='B'  prod='CLASS B'  region='B'
